               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.061315,             0.15398,           0.0030451,             0.61476,             0.54208,             0.56657,             0.20202,            0.057152,             0.12283,           0.0018033,            0.006535,            0.006535,            0.006535
                  37,            0.061263,              0.1549,           0.0031673,             0.62959,              0.5663,             0.58818,             0.21776,            0.055877,             0.12131,           0.0018098,            0.006436,            0.006436,            0.006436
                  38,            0.061037,             0.15571,           0.0031247,             0.61538,             0.54326,             0.56918,             0.20612,            0.056084,             0.12124,           0.0017469,            0.006337,            0.006337,            0.006337
                  39,            0.060766,             0.15125,           0.0029299,             0.63782,             0.57701,             0.60484,             0.22139,            0.055529,             0.12092,           0.0016049,            0.006238,            0.006238,            0.006238
                  40,            0.060769,             0.15482,           0.0029395,             0.62667,             0.58453,             0.60203,             0.22185,            0.055433,             0.12205,           0.0016879,            0.006139,            0.006139,            0.006139
                  41,            0.060716,             0.15429,           0.0030797,              0.6526,             0.57517,             0.60453,              0.2237,            0.055758,              0.1211,           0.0017083,             0.00604,             0.00604,             0.00604
                  42,            0.060343,             0.15557,           0.0030368,             0.64794,             0.58655,             0.61354,             0.22652,            0.054658,             0.11882,           0.0015327,            0.005941,            0.005941,            0.005941
                  43,            0.060186,              0.1523,           0.0028113,             0.68063,             0.57806,             0.62788,             0.24001,             0.05442,              0.1194,           0.0015415,            0.005842,            0.005842,            0.005842
                  44,            0.059827,             0.15039,           0.0027701,             0.67565,             0.61615,             0.65003,             0.24477,             0.05407,             0.11886,           0.0014984,            0.005743,            0.005743,            0.005743
                  45,            0.059918,              0.1524,           0.0027602,             0.69152,             0.62101,             0.67039,             0.26018,            0.053435,             0.11736,            0.001427,            0.005644,            0.005644,            0.005644
                  46,            0.059095,             0.15117,           0.0027573,             0.70496,             0.63543,             0.68408,             0.26915,            0.053266,              0.1164,           0.0013342,            0.005545,            0.005545,            0.005545
                  47,             0.05937,             0.15272,            0.002772,             0.68195,             0.63451,             0.67272,             0.25711,            0.053337,             0.11985,           0.0013647,            0.005446,            0.005446,            0.005446
                  48,            0.058913,             0.15097,           0.0025976,             0.71594,             0.64595,             0.69555,             0.27169,            0.052555,             0.11473,           0.0012244,            0.005347,            0.005347,            0.005347
                  49,            0.058777,             0.14821,           0.0027176,              0.7111,             0.63372,             0.68156,             0.26735,            0.052835,             0.11584,           0.0012831,            0.005248,            0.005248,            0.005248
